"Investor","Loan Types","Loan Channels","Min Credit","Executive","AVG App To Fund","Preferred","Rating","Portal","Licensed States","Revenue Notes","Notes"
"HomeBridge Financial Services, Inc.","Conventional, FHA, VA, USDA, Heloc, Non-QM, Jumbo","Wholesale","580","Peggy Douglas","18 (31)","","5","🔗","🔗","LPC/BPC: 2.25% (20K Max) - They will not allow 30K.","QM: $1,025
Non-QM: $1495
FHA/VA Streamline: $595"
"HomeXpress Mortgage","Conventional, FHA, VA, Non-QM, Jumbo","Wholesale","500","Heather Fox","40 (10)","","4.73","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","UW: $1595
Admin: $99
Attorney Doc Fee (TX ONLY): $150"
"iBusiness Funding","SBA","Wholesale","640","John Cebula","0 (0)","","","🔗","","Referral up to 2%",""
"IceCap Group","Non-QM, Hard Money, Commercial - Residential","Wholesale","660","Abie Galapo","30 (1)","","4.94","🔗","🔗","LPC: 2% and business purpose compensation","$1495"
"ICM Capital Markets","Conventional, FHA, Heloan, Non-QM, Commercial, Hard Money, Jumbo","Wholesale","600","Clay Baldwin","36 (1)","","","🔗","","BPC only: 2.250% (30k max)",""
"ICS Loans","Commercial, SBA","Wholesale","650","Ryan Mosley","69 (1)","","","🔗","","Commercial Compensation: Contact AE",""
"Jet Mortgage","FHA, VA, Heloan, Non-QM","Wholesale","580","Jack Rezk","47 (8)","","3.33","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","UW Fee only."
"JMAC Lending","Conventional, FHA, VA, USDA, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","500","Bridgette Klein","47 (7)","","4.3","🔗","🔗","2.25% (1K Min, 30K Max)","$695
$1145
$1496"
"Keystone Funding, Inc.","FHA, VA","Wholesale","580","Barbara Ferullo","27 (3)","","","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","UW: $1125 UW
Flood: $13.50
Tax Service: $90 
MERS: $24.95"
"Kiavi","FHA, Non-QM, Hard Money","Wholesale","660","Noah Dlott","20 (2)","","4.27","🔗","🔗","Commercial Compensation: Contact AE","$1999"
"Land Home Financial Services, Inc","Conventional, USDA, Jumbo","Wholesale","620","Ray Munnings","75 (1)","","","🔗","🔗","2.25% (1K Min, 30K Max)","Admin Fee: $1145"
"Lead+ Wholesale","FHA, Heloc, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","600","Jordan Threatt","39 (2)","","","🔗","🔗","BPC ONLY: 2.250% ($30K MAX)","$1495"
"LenderMac","Conventional, Heloan, Non-QM, Jumbo","Wholesale","0","Kim Tran","0 (0)","","","🔗","🔗","2.250% LPC/BPC, max $30k","$1195 to $1695"
"LendingOne","Non-QM, Hard Money, Jumbo","Wholesale","680","Juan Hasbun","0 (0)","","","🔗","🔗","Business Purpose Compensation - Contact AE","1 point or $2k whichever greater + $1395 processing fee"
"LendingPros","Conventional, VA, USDA, Heloan, Non-QM, Commercial, Jumbo, Commercial - Residential","Wholesale","580","Ryan King","26 (8)","","2.93","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max) BPC only on Non-QM loans,","https://golendingpros.com/wp-content/uploads/2023/08/LP-X-WS_ALLOWEDFEES-WS-230815.pdf"
"LendSure Mortgage Corporation","Conventional, Non-QM, Jumbo, Commercial - Residential","Wholesale","640","Erika Wedemeyer","30 (4)","","3.8","🔗","🔗","BPC ONLY: 2.250%","1595 Full Doc, 1895 Bk Stmt, 5-8 Units $1995, Legal Review of LLC, Corps, Partnership Doc Fee $995, $225 Texas Attny;  Doc Review, Appraisal Transfer fee $175, Condotels LendSure Loan Orig Fee 1.0%, Loans < $175k LendSure"
"Lendz Financial","Conventional, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","620","Mike Boghos","26 (1)","","3.93","🔗","🔗","BPC only: 2.250%, business purpose compensation","UW: 1495
Tax Service: $129
Flood: $11
Credit Refresh: $100"
"Liberty Reverse Mortgage","FHA, Reverse","Wholesale","620","Tommy Noyes","197 (1)","","5","🔗","🔗","Reverse Type Compensation: Contact AE",""
"Lima One Capital","Commercial - Residential","Wholesale","660","Bryan Basilico","0 (0)","","","🔗","🔗","Commercial Compensation: Contact AE","Varies based on product."
"Loan Simple","FHA, VA, USDA","Wholesale","580","Michael Dozois","31 (17)","","2.9","🔗","🔗","LPC: 2.25% (10K Max)","Standard: $1045 Standard
DPA: $1495
1% Orig on HFA loans like CHFA, TSHAC, etc."
"LoanBud","SBA","Wholesale","650","John Cebula","0 (0)","","","🔗","🔗","Commercial Compensation: Contact AE",""
"loanDepot Wholesale","Conventional, FHA, VA, USDA, Non-QM, Jumbo","Wholesale","520","Thomas DeStefano","43 (2)","","","🔗","🔗","LPC/BPC: 2.250% max $25k","$995 UW"
"LoanStream Wholesale Lending","FHA, VA, USDA, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","550","Jaye Craft","40 (10)","","4.4","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max) BPC only on Non-QM loans,","NonQM: $195
Regular Loans: $995
Doc Fee: $79 
UW Fee: $1595"
"Logan Finance","Conventional, USDA, Non-QM, Jumbo, Commercial - Residential","Wholesale","660","Erica Garcia","46 (5)","","4.2","🔗","🔗","LPC/BPC: 2.25% (30K Max)","$1295 All-In"
"Longbridge Financial, LLC","Reverse","Wholesale","550","Brooke McManus","77 (1)","","5","🔗","🔗","Reverse Type Compensation: Contact AE",""
"Luminate Bank","Heloan, Non-QM, Reverse","","0","Brent Wood","0 (0)","","","🔗","🔗","2.250%","$1495"
"Luxury Mortgage Corp.","Conventional, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","620","Kathleen Kaylor","42 (1)","","3.1","🔗","🔗","2.25%LPC (1K Min, 30K Max) - Luxury does not have max comp system capabilities at this time.","Underwriting: $1650
Docs: $195"
"Mega Capital Funding, Inc","Conventional, FHA, VA, Non-QM, Jumbo","Wholesale","620","Elaine Lui","24 (2)","","2.8","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)",""
"Milestone Mortgage","Heloan, Commercial, Commercial - Residential","Wholesale","580","Zoe Hamilton","0 (0)","","","🔗","🔗","BPC ONLY: 2.250%","3%"
"MiMutual Wholesale powered by Supreme Lending","Conventional, FHA, VA, USDA, Jumbo","Wholesale","600","Julie Sakadales","42 (1)","","4","🔗","🔗","LPC: 2.25% (1K Min, 30K Max)","UW: $1095 UW (EXCEPT on VA)"
"MLB Mortgage","FHA, VA, USDA, Non-QM, Jumbo","Wholesale","560","Andrea DeMatteo","67 (1)","","4.8","🔗","🔗","2.25% (1K Min, 30K Max)","$1295: Lender Fee/UW Fee"
"Mobilehomeloans.com","Non-QM","Wholesale","0","Curtis Steen","48 (1)","","","","🔗","",""
"Mortgage Financial Services, LLC","Conventional, FHA, VA, USDA, Jumbo","Wholesale","620","Steve Merka","29 (1)","","","🔗","🔗","LPC/BPC: 2.25% ($1K Min, $30K Max)","$1195"
"Mortgage Solutions Financial","FHA, VA, USDA, Commercial - Residential","Wholesale","400","Richard Eampietro","32 (2)","","","🔗","🔗","LPC/BPC: 2.25% ($30K Max)",""
"Mutual of Omaha","Conventional, FHA, Heloc, Reverse, Jumbo","Wholesale","580","Wes McGaffin (FORWARD MORTGAGES)","47 (11)","","5","🔗","🔗","LPC/BPC: 2.25% ($1K Min, $30K Max)",""
"Nada","Hard Money","","580","Lucy Vega","68 (12)","","","","🔗","1.5%",""
"Nations Direct Mortgage, LLC","Conventional, FHA, VA, Heloan, Non-QM, Jumbo","Wholesale","550","Justin Simpers","36 (1)","","3.5","🔗","🔗","LPC: 2.25% (1K Min, 20K Max)","See Lenders Folder for a complete list."
"Nationwide Equities Corp","Reverse","Wholesale","100","Mary Cooper","78 (1)","","","🔗","🔗","",""
"New Wave Lending Group Inc","Conventional, FHA, Heloan, Non-QM, Jumbo","Wholesale","580","Kelly Zuo","33 (3)","","5","🔗","🔗","LPC/BPC: 2.25% (30K Max)",""
"Newfi Wholesale","VA, Heloan, Non-QM, Jumbo","Wholesale","660","Nancy Aplin","49 (11)","","5","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","Varies by state and product in lender folder."
"NewPoint Mortgage LLC","Conventional, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","620","Michael Glover","56 (1)","","","🔗","🔗","BPC only: 2.250%","$1695"
"NexBank","Conventional, FHA, VA, Non-QM, Jumbo","Wholesale","620","Lyndsey Madsen","50 (18)","","4.02","🔗","🔗","2.25% ($1K Min, $20K Max)","LPC/BPC: - 2.250% (MAX $20K)"
"Nextres","Conventional, Commercial, Jumbo","Wholesale","500","Mitchell Ayzenberg","53 (1)","","4","🔗","🔗","DSCR LPC:1.5% BPC ONLY up to 2.250% for all other programs.","1. Underwriting Fee 1-4 Residential: $1,995
2. Commercial Underwriting Fee Up to $500,000: $1,995
3. Commercial Underwriting Fee Up to $500,001 - $2,499,999: $2,495
4. Commercial Underwriting Fee Up to $2,500,000+: $2,995
5. Flood Cert Fee: $12.72"
"NMSI, INC","Conventional, FHA, Heloc, Heloan, Non-QM, Jumbo","Wholesale","600","Debra Donahue","32 (6)","","","","🔗","2.250% ($1k Min $30k Max)","Varies by Product"
"Normandy Corporation","Commercial, Jumbo, Commercial - Residential","Wholesale","600","Ask to speak to an available Loan Officer","0 (0)","","","🔗","🔗","Commercial Compensation: Contact AE",""
"NQM Funding, LLC","Conventional, Heloan, Non-QM, Jumbo","Wholesale","660","Chris Farruggio","48 (1)","","3.53","🔗","🔗","LPC: 2.25% (1K Min, 30K Max)","Lender Fee: $1,695
Doc Prep: $200"
"Oaktree Funding Corp","Conventional, FHA, VA, Heloc, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","600","Owen Wakeman","38 (6)","","4.89","🔗","🔗","LPC/BPC: 2.25% (30K Max)","$1790"
"Open Mortgage","FHA, VA, USDA, Non-QM","Wholesale","540","Frederick Brady","66 (4)","","","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","Full Doc: $1,195
VOE: $1,495
NonQM: $1,695"
"Orion Lending","Conventional, FHA, VA, USDA, Jumbo","Wholesale","550","Jason Twiford","55 (4)","","5","🔗","🔗","2.250% ($1k Min $30k Max)","$595 IRRLS - $895 to $1295

*See lender folder"
"OVAL Mortgage","VA, USDA","Wholesale","580","Jason York","0 (0)","","","🔗","🔗","LPC: 2.25% (1K Min, 30K Max)","$995"
"Pacific Bay Lending Group","Conventional, FHA, VA, USDA, Heloc, Reverse, Jumbo","Wholesale","550","Dustin Lim","0 (0)","","","🔗","🔗","LPC/BPC: 2.25%",""
"Paramount Residential Mortgage Group, Inc","Conventional, FHA, VA, USDA, Heloan, Jumbo","Wholesale","580","Jim Martin","55 (6)","","3.84","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","$990"
"Plaza Home Mortgage, Inc","Conventional, FHA, VA, USDA, Heloan, Non-QM, Reverse, Jumbo","Wholesale","550","Melinda Fortier-Marin","48 (11)","","3.99","🔗","🔗","LPC 2.25% (1K Min, 30K Max)","Lender Fee: $1175/ Non-QM $1475/ Gov Streamline $675/ Tax Service $65/ Mers $23.70/ Flood $5.75"
"POWER TPO","Conventional, FHA, VA, USDA","Wholesale","580","Patrick Phelan","29 (1)","","","","🔗","LPC/BPC: 2.250% ($1k min $30k max)","$1250 admin fee"
"Premier Money Source","Heloan, Hard Money, Commercial - Residential","Wholesale","500","Duane Wellhoefer","41 (1)","","","🔗","🔗","Commercial Compensation: Contact AE","$1495"
"Provident Bank Mortgage - Wholesale","Conventional, Jumbo","Wholesale","0","Wendy Hughes","0 (0)","","","🔗","🔗","1.5% (20K Max)","$995"
"Provident Funding","Conventional, Jumbo, Commercial - Residential","Wholesale","620","Derek Adams","32 (2)","","","🔗","🔗","2.250% LPC/BPC $15k max","$1125"
"Quontic Bank","Conventional, Heloan, Non-QM, Jumbo","Wholesale","620","Tom Hoppe","54 (2)","","","🔗","🔗","BPC ONLY: UP TO 2%","$1844"
"Quorum Federal Credit Union","Heloc, Non-QM","Wholesale","640","Vincent Buongiovanni","34 (4)","","4.6","🔗","🔗","BPC ONLY up to 2%",""
"RanLife Inc. with The Funding Pool","Conventional, FHA, VA, USDA, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","580","Cameron Bishop","0 (0)","","","🔗","🔗","LPC: 2.25% (1K Min, 30K Max)",""
"RCN Capital","Non-QM","Wholesale","650","Bailey Jenkins","31 (1)","","","🔗","🔗","BPC ONLY: 2.250%","$995 Closing $525 UW $1,500 or .5 BPS on F&F"
"Ready Capital Corporation","Commercial, Commercial - Residential","Wholesale","500","Jack Alvarez","0 (0)","","","🔗","🔗","Commercial Compensation: Contact AE",""
"REMN Wholesale","Conventional, FHA, VA, USDA, Heloc, Non-QM, Jumbo","Wholesale","550","Joshua Hartwell","19 (43)","","4.61","🔗","🔗","2.25% (20K Max)","UW Fee:$1095
Flood: $10
Tax Service: $70 (conventional loan)"
"ResiCentral Wholesale","FHA, VA, Non-QM, Jumbo","Wholesale","580","Chacko Kavanattu","40 (35)","","4.38","🔗","🔗","2.25% (1K Min, 25K Max) - They will not allow 30K.","$1095: UW Fee
$750: FHA Streamline UW Fee
$750: VA IRRRL UW Fee"
"ROC Capital","","Wholesale","660","Jon Kelly","40 (1)","","","🔗","","Commercial Compensation: Contact AE","1point to Roc"
"RoundHouse Lending","Conventional, FHA, VA, USDA, Non-QM","Wholesale","500","David Blum","24 (1)","","","","🔗","2.25% (1K Min, 30K Max)",""
"Sierra Pacific Mortgage Company, Inc","Conventional, FHA, VA, USDA, Jumbo","Wholesale","620","Jennifer Martinez","36 (6)","","4.9","🔗","🔗","2.25% (1K Min, 30K Max)","Admin: $1095
FHA Streamline/VA IRRRL: $995
Tax Service: $64
Flood: $13.25
MERS: $24.95"
"Silver Hill Funding, LLC","Non-QM, Commercial","Wholesale","650","Felipe Herrera","42 (1)","","","🔗","🔗","Commercial Compensation: Contact AE",""
"Smartfi Home Loans, LLC","Reverse","Wholesale","600","Scott Clarke","102 (2)","","","🔗","🔗","Reverse Type Compensation: Contact AE",""
"Solve Mortgage","Conventional, Non-QM, Jumbo, Commercial - Residential","Wholesale","600","Sevan Apik","21 (1)","","5","🔗","🔗","LPC/BPC: 2.25%","$1495"
"Splitero","","Wholesale","500","Stephanie Snavely","48 (19)","","4.8","","🔗","50% of origination charged is paid to broker for compensation","4.99%"
"STG Mortgage Inc DBA AT Lending","Conventional, FHA, VA, USDA, Heloan, Non-QM, Jumbo","Wholesale","580","Joseph Mastrogiovanni","37 (12)","","3.86","🔗","🔗","LPC: 2.25% (1K Min, 30K Max)","$1295"
"Stone Bank","Commercial, SBA","Wholesale","640","Jim Curry","0 (0)","","","🔗","🔗","Referral up to 2%",""
"Symmetry Lending","Heloc","Wholesale","680","Bob Brenseke","29 (7)","","4.33","🔗","🔗","BPC ONLY: -1.50% based on initial funded draw at closing","$450"
"Temple View Capital Funding","Non-QM, Hard Money","Wholesale","620","Yoshi Dilg","28 (1)","","","🔗","🔗","Commercial Compensation: Contact AE",""
"The Money House, Inc.","Reverse","Wholesale","100","Nick Rosynek","0 (0)","","","🔗","🔗","LPC/BPC","Reverse Compensation Only"
"theLender","Conventional, FHA, VA, USDA, Heloc, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","550","Allen Galang","46 (10)","","","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","$1195: Agency/Government
$1995: Non-QM
$999: Standalone 2nd"
"TLA Bancorp, Inc","","Wholesale","680","Monika Setyan","0 (0)","","","🔗","🔗","Fee per file basis",""
"TPO Go","FHA, VA, USDA, Jumbo","Wholesale","580","Tyler Rhea","31 (1)","","5","🔗","🔗","LPC/BPC: - 2.25% (1K Min, 30K Max)","Underwriting: $1095
Doc Prep: $92
Flood Cert: $12"
"Traditional Mortgage Acceptance Corporation","Reverse","Wholesale","620","Geoff Bench","50 (1)","","","🔗","🔗","Reverse Compensation Only",""
"Union Home Mortgage","Conventional, FHA, VA, USDA, Heloc, Non-QM","Wholesale","0","Velvet Cordes","23 (1)","","","","🔗","2.250% ($1k Min $30k Max)","$1235 govt, conventional, $650 IRRRL/Streamlines"
"United AG Lending","","Wholesale","680","Kent Hackman","27 (1)","","","🔗","🔗","BPC ONLY:- 2.250%","TRID Loans UW Fee: $1295
Land & Farm Fee: 1% of 5k, whichever is greater."
"Val-Chris Investments, Inc.","Conventional, Heloan, Commercial, Hard Money, Jumbo","Wholesale","400","Xavier Saavedra","0 (0)","","","🔗","🔗","BPC ONLY: - 2.250%","Lender Fee is between 1.5% - 3% for loans over $100k."
"Valere Financial","Non-QM","Wholesale","620","Mina Vogel","38 (5)","","1.2","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)",""
"Velocity Mortgage Capital","Conventional, Non-QM, Commercial, Jumbo","Wholesale","500","Shane Pew","40 (19)","","4.66","🔗","🔗","Private Money",""
"Verus Mortgage Capital","Conventional, Non-QM, Jumbo, Commercial - Residential","Wholesale","620","Liz Schermerhorn","110 (3)","","","🔗","🔗","LPC/BPC: 2.00%","UW Fee: $1395"
"Village Capital & Investment, LLC","FHA, VA, USDA","Wholesale","500","Zeno Barwari","27 (2)","","3.53","🔗","🔗","LPC/BPC: 2.25% (25K Max)","UW: $1135
Full Doc: $495
IRRRL / Streamline"
"Visio Lending","Non-QM, Jumbo","Wholesale","680","Ryan Huddleston","33 (2)","","","🔗","🔗","Commercial Compensation: Contact AE","UW Fee: $1645"
"Wells Fargo","SBA","Wholesale","640","Brian Broderick","0 (0)","","","🔗","🔗","","Industry standard SBA fees and report fees."
"Wholesale Mortgage Bankers","Non-QM, Jumbo","Wholesale","650","Joseph Choi","30 (1)","","","🔗","🔗","LPC: 2.25% ($1k Min $30k Max)","Starting $1495 differ by program"
"Windsor Mortgage Solutions","Conventional, FHA, VA, USDA, Jumbo","Wholesale","600","Shelby Vinson","56 (1)","","4.7","🔗","🔗","2.25% (1K Min, 30K Max)","$1095: Admin
$11: Flood
$35: Fraud for single borrower
$37: Fraud for joint borrowers ($2 for each additional)
$595: FHA Streamline/VA IRRRL"